Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_6,48.9807541949355,35.28152419924748,232.69046052070723,1.743,0.16971256896760772,2024-11-20 19:47:37.378124
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_6,52.316875512376726,44.82916087208771,262.0822178590352,1.506,0.14012328427305637,2024-11-20 20:15:43.283988
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_6,54.16359451497555,47.36454713937645,350.88028295561315,1.845,0.13433283197856025,2024-11-20 20:50:32.633078
