Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,21.215779548382752,2.3823325024235107,-429.03219690918945,17.903,0.40712872792954446,2024-12-01 20:39:43.660235
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC,6.057508536082054,1.8547559413537333,-332.6433562361581,15.422,0.4053564200058128,2024-12-02 11:25:46.278348
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC,7.8575316052884725,4.015007468075472,-50.5635451105518,13.681,0.2888323713937065,2024-12-02 12:06:03.344150
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
PPO,11.815581603400899,6.5070444612035825,-13.506400521925988,17.73966666666667,0.23765849530084118,2024-12-02 13:32:05.256725
SAC,9.710127148728466,2.2747009054782383,-201.16076851600914,14.324,0.45253060740077716,2024-12-02 14:06:41.006779
