Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,64.22610836405282,64.22610836405282,416.5764211169363,6.04,0.08874235026208473,2024-11-30 19:51:54.698342
SAC-5_3_copy,64.22610836405282,64.22610836405282,416.5764211169363,6.04,0.08874235026208473,2024-11-30 19:54:29.243038
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,30.879428442124237,30.87942844212424,170.71984864499296,3.73,0.25548343699385656,2024-11-30 19:59:59.653268
SAC-5_3_copy,30.879428442124237,30.87942844212424,170.71984864499296,3.73,0.25548343699385656,2024-11-30 20:03:37.265160
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,67.26214638387455,67.26214638387455,470.77898969023016,0.0,0.09881796874353606,2024-11-30 20:10:13.974666
SAC-5_3_copy,67.26214638387455,67.26214638387455,470.77898969023016,0.0,0.09881796874353606,2024-11-30 20:15:17.229948
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,67.26214638387455,67.26214638387455,470.77898969023016,0.0,0.09881796874353606,2024-11-30 20:43:57.394157
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,85.23308241483684,85.23308241483683,548.841525464204,0.0,0.07127771007665941,2024-11-30 20:47:30.195579
SAC-5_3_copy,85.23308241483684,85.23308241483683,548.841525464204,0.0,0.07127771007665941,2024-11-30 20:50:52.957371
