Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
PPO-5,26.377250862533813,10.08010408221276,68.81160722433687,14.282,0.22385550466306878,2024-11-19 16:03:00.086110
SAC-2,24.972737331861925,8.06567122979795,10.367624145263159,9.608,0.34823299207363584,2024-11-19 16:34:54.174439
PPO-2,27.011940125590307,12.150015419288698,68.45102227490018,14.429,0.22272666104662142,2024-11-19 16:59:00.443441
