Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,100.0,100.0,542.1933422675197,0.0,0.04542554327006238,2024-11-30 21:01:26.401463
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,7.642272090851603,7.642272090851602,-52.487166670754085,7.05,0.32793975496615646,2024-11-30 21:07:14.462724
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,7.642272090851603,7.642272090851602,-52.487166670754085,7.05,0.32793975496615646,2024-11-30 21:10:15.140585
SAC-5_3_copy,7.642272090851603,7.642272090851602,-52.487166670754085,7.05,0.32793975496615646,2024-11-30 21:12:48.799412
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,49.024632862768755,49.02463286276877,349.79257139196983,7.16,0.1268870618196671,2024-11-30 21:18:28.361102
SAC-5_3_copy,49.024632862768755,49.02463286276877,349.79257139196983,7.16,0.1268870618196671,2024-11-30 21:21:56.815847
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
Config File,Score 100,Mean Score,Mean Reward,Mean Obstacle,Mean End Distance,Time
SAC-5_3,49.024632862768755,49.02463286276877,349.79257139196983,7.16,0.1268870618196671,2024-11-30 21:26:36.401366
